,category,image_url,title
0,bag,https://i5.walmartimages.com/seo/Daisy-Rose-Tote-Shoulder-Bag-and-Matching-Clutch-for-Women-PU-Vegan-Leather-Handbag-for-Travel-Work-and-School-Brown-Box_783b4bd8-2ced-4d56-9373-33bd235de22e.2b9a367410d8dd77dbdbb16703675e26.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,Daisy Rose Tote Shoulder Bag and Matching Clutch for Women - PU Vegan Leather Handbag for Travel Work and School - Brown Box
1,bag,https://i5.walmartimages.com/seo/Travel-Backpack-Women-Men-Carry-On-Traveling-Airplane-Laptop-Shoe-Compartment-Flight-Approved-Personal-Item-Bag-Waterproof-Luggage-Black_dd908dc9-4a7c-47f7-9b3d-da451c7e8088.db35f7a3f043035c8763f3fc211ffec8.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Travel Backpack for Women Men, Carry On Backpack for Traveling on Airplane,Laptop Backpack with Shoe Compartment, Flight Approved Personal Item Travel Bag Waterproof Luggage  Backpack Black"
2,bag,https://i5.walmartimages.com/seo/Harry-Potter-Travel-Rope-Tote-Bag-Carry-On-Gryffindor-Hedwig-Glasses-Gray_36fd2d15-023a-4971-a6be-8c77456b30d0.d4f9605f82ea894e4bb4ea67c46753c1.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,Harry Potter Travel Rope Tote Bag Carry-On Gryffindor Hedwig Glasses Gray
3,bag,https://i5.walmartimages.com/seo/Hyper-Tough-12-inch-Tool-Bag_6f3d902e-53a8-4ded-ba19-b632a46fd7fd.f3de6c89dfb8265a5f9d2845f582fade.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,Hyper Tough 12 inch Tool Bag
4,bag,https://i5.walmartimages.com/asr/35e8cf7f-8248-4fb6-bd7e-85d9d2f3a66a.f8f8c843d118c81ab07c9caa3172eabe.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,"Great Value Fresh Seal Double Zipper Sandwich Bags, 100 Count"
5,bag,https://i5.walmartimages.com/seo/No-Boundaries-Women-s-Beach-Cooler-Tote-Bag-Checkered_728f1703-9b5b-454e-817e-2350310eb821.fe3fc835244173401e76c86f3e7ba07c.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,No Boundaries Women's Beach Cooler Tote Bag Checkered
6,bag,https://i5.walmartimages.com/seo/Prot-g-20-Collapsible-Sport-and-Travel-Duffel-Bag-Black_ade57c88-0362-434d-84aa-8c1cc555546b_2.7b26e97901025bb06095b75e914a8427.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"Protégé 20"" Collapsible Sport and Travel Duffel Bag, Black"
7,bag,https://i5.walmartimages.com/asr/831d5bcf-758d-4825-a481-ecf6ca85b413.e98a5b037446ae0da5820e356202ba22.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,Blue Reusable Shoppping Bag
8,bag,https://i5.walmartimages.com/asr/4a1fe853-8475-4f9b-ae8a-73fc1e6fd552.994adb6d4b682e619bbf8c28d33c0f74.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,Large Double Handle Bag
9,bag,https://i5.walmartimages.com/seo/No-Boundaries-Women-s-Hands-Free-Sling-Bag-Black_8b9c0948-ce59-4f29-82d5-b59c073453ec.a77029c5aa64d9ef7df6dbb148f8fc0c.jpeg?odnHeight=180&odnWidth=180&odnBg=fffff,"No Boundaries Women's Hands-Free Sling Bag, Black"
